"gene","distance","Z","FC","p.value","p.adj"
"RAC1",0.00171309426956415,5.13817557392085,18623.5974197547,0,0
"SFTPA1",7.46096062105722e-05,2.24116714992036,35.325681255923,2.78929709955655e-09,5.10441369218849e-07
"SFTPA2",7.03020730571739e-05,2.19830729788588,31.3644238121716,2.13863955837799e-08,2.60914026122115e-06
"PLAT",6.60906667938047e-05,2.15418902617896,27.7192399186669,1.40260761753247e-07,1.28338597004221e-05
"SFTPB",6.35070426175548e-05,2.12592598449816,25.5943926654661,4.21261787992872e-07,3.08363628810783e-05
"CD99",6.06766447338245e-05,2.09381888909051,23.3638368643374,1.34075565624845e-06,8.17860950311556e-05
"PSCA",5.49903430144813e-05,2.02526662278898,19.1899528553606,1.18334579273305e-05,0.000618720800200421
"NAPSA",5.06594276861012e-05,1.96888708593952,16.2862691842004,5.44571354899795e-05,0.00249141394866656
"SLC39A8",5.02182701828382e-05,1.96291665505378,16.0038528033982,6.32137101103965e-05,0.00257069087782279
"SFTPD",4.6394777321235e-05,1.90921457492249,13.6596395576794,0.000219113556434492,0.00746798522756592
"CD24",4.63180219392596e-05,1.90809855900525,13.6144800101876,0.000224447643451435,0.00746798522756592
"MUC4",4.50434552949047e-05,1.88933283576573,12.8755101725913,0.000332909959891414,0.0101537537766881
"CTSH",4.15166518572055e-05,1.83494823967996,10.9381958411457,0.000942018545752583,0.0265214452111881
"LRRK2",3.89561587562404e-05,1.79294739283713,9.63059909782226,0.00191362178467688,0.050027540942267
"C19orf33",3.41315493420053e-05,1.70698550933209,7.39286977042376,0.00654829292358644,0.159778347335509
"SNCG",3.25665217985462e-05,1.67687645570322,6.7304453868733,0.00947809306767139,0.216811378922983
"S100A4",3.19822002268089e-05,1.6653189705114,6.49109142616539,0.0108416394969733,0.233414120934837
"MARCKS",3.10755123840505e-05,1.64702496027644,6.12826654989538,0.0133037247096055,0.249746648367205
"PTPN13",3.10294499490859e-05,1.64608351803124,6.11011246988678,0.0134410575296185,0.249746648367205
"S100P",3.09610309557919e-05,1.64468294896995,6.0831969523054,0.0136473578342735,0.249746648367205
"KRT17",2.83777158638566e-05,1.58977228168746,5.11041209477686,0.0237826705639663,0.414497972686269
"MACC1",2.27246115750124e-05,1.45296680415286,3.27713240024244,0.0702515754676941,0.999999999894589
"C4BPA",2.13504262745235e-05,1.41536801212237,2.89277164068696,0.0889777329872268,0.999999999894589
"SPINT2",2.09240293200531e-05,1.40328324310065,2.77838029526791,0.0955447498819231,0.999999999894589
"CDKN2A",1.97735766873393e-05,1.36960086909759,2.48125566402081,0.115210241505288,0.999999999894589
"PRSS23",1.87841248340241e-05,1.33927256289908,2.2391489385814,0.134555020893259,0.999999999894589
"HMGA1",1.87507181550593e-05,1.33822510824868,2.23119157947922,0.135249506705997,0.999999999894589
"IGFBP3",1.81147375233364e-05,1.31797528814504,2.08240473042632,0.149005271441525,0.999999999894589
"C11orf96",1.70510599467196e-05,1.28271557696467,1.84503161765296,0.174362354099723,0.999999999894589
"CSTB",1.62662580003621e-05,1.25548121708654,1.67909923277708,0.195044186286705,0.999999999894589
"NINJ2",1.60793254296582e-05,1.24882990104253,1.64072841829171,0.200225555542012,0.999999999894589
"FXYD5",1.58125327197737e-05,1.23922230584322,1.58673325828994,0.207793481639826,0.999999999894589
"CRIP2",1.57699883238702e-05,1.2376775039894,1.5782063772132,0.209019239644106,0.999999999894589
"ASS1",1.56404870161824e-05,1.23295336802287,1.5523927096373,0.212782559480394,0.999999999894589
"GADD45B",1.50432904484021e-05,1.21072815046737,1.43610677768083,0.230770388891478,0.999999999894589
"IL32",1.47472189987132e-05,1.19943025090559,1.38013417383993,0.240078293974039,0.999999999894589
"PLAU",1.41872029433696e-05,1.17752265097144,1.27730500181198,0.258400726579787,0.999999999894589
"HEXIM1",1.41524701505854e-05,1.17613985791627,1.2710585183863,0.259568196478795,0.999999999894589
"FAM3C",1.27039884238948e-05,1.11573075041596,1.02419164593385,0.311526798175,0.999999999894589
"ASCC2",1.26097739803721e-05,1.1116020684508,1.00905689643464,0.315128883477343,0.999999999894589
"HPGD",1.23785103989832e-05,1.1013553279615,0.972384040101403,0.324086325067644,0.999999999894589
"COL1A1",1.21177751871167e-05,1.08960578975778,0.931851765822926,0.334382206737215,0.999999999894589
"CARHSP1",1.20554127474601e-05,1.08676373415991,0.922285155689441,0.336875679520635,0.999999999894589
"LY6D",1.18902005909145e-05,1.07917363788964,0.897179647548391,0.34353907862358,0.999999999894589
"LPCAT1",1.18622298836392e-05,1.07787976036648,0.892963531520954,0.344675480569887,0.999999999894589
"ANKRD36C",1.1672903988713e-05,1.06905304706346,0.864686895489394,0.352430412394202,0.999999999894589
"SUN1",1.16484757973092e-05,1.06790531490791,0.86107157663544,0.353438992161415,0.999999999894589
"PDE4C",1.15700590844786e-05,1.06420711598079,0.849517253870762,0.356688940170979,0.999999999894589
