"gene","delta_degree","hub_status"
"S100A2",1,"unchanged"
"LY6D",0,"unchanged"
"SNCG",0,"unchanged"
"CST6",1,"unchanged"
"KRT17",0,"unchanged"
"S100A4",0,"unchanged"
"S100P",1,"unchanged"
"PLAT",0,"unchanged"
"AQP1",1,"unchanged"
"ASS1",0,"unchanged"
"BIRC3",0,"unchanged"
"CCND1",0,"unchanged"
"LGALS1",0,"unchanged"
"HN1",1,"new_hub"
"AQP3",1,"new_hub"
"PLAU",0,"unchanged"
"TNFSF10",2,"unchanged"
"IL32",0,"unchanged"
"EREG",0,"unchanged"
"KRT18",0,"unchanged"
"VSTM2L",1,"new_hub"
"PSMB9",1,"new_hub"
"TGM2",0,"unchanged"
"AREG",1,"new_hub"
"HLA-DPB1",0,"unchanged"
"VIM",0,"unchanged"
"AQP5",0,"unchanged"
"CHI3L1",1,"unchanged"
"CRIP1",0,"unchanged"
"TNFRSF21",0,"unchanged"
"TMC5",0,"unchanged"
"SERPINA1",0,"unchanged"
"TSPAN1",0,"unchanged"
"SLC16A3",0,"unchanged"
"RHOD",0,"unchanged"
"PRSS23",0,"unchanged"
"ITGA2",0,"unchanged"
"ANXA1",0,"unchanged"
"TSPAN8",0,"unchanged"
"HLA-DPA1",1,"unchanged"
"KRT7",0,"unchanged"
"CARHSP1",0,"unchanged"
"CD74",0,"unchanged"
"LRRK2",0,"unchanged"
"CKS2",0,"unchanged"
"ANKRD36C",0,"unchanged"
"PLAUR",0,"unchanged"
"HPGD",1,"unchanged"
"GADD45A",1,"unchanged"
"S100A16",0,"unchanged"
"DUSP5",0,"unchanged"
"PLEC",0,"unchanged"
"B3GNT7",1,"new_hub"
"LY6E",1,"new_hub"
"PPP1CA",0,"unchanged"
"MDK",0,"unchanged"
"PHLDA1",0,"unchanged"
"CRIP2",0,"unchanged"
"GADD45B",0,"unchanged"
"DSP",0,"unchanged"
"TM4SF1",1,"new_hub"
"TIMP1",0,"unchanged"
"SLC52A2",0,"unchanged"
"CSTB",1,"unchanged"
"EMP1",1,"unchanged"
"HES4",0,"unchanged"
"MVP",0,"unchanged"
"RARRES3",0,"unchanged"
"C11orf96",0,"unchanged"
"CEACAM6",0,"unchanged"
"CD9",0,"unchanged"
"PDE4C",0,"unchanged"
"MTA1",0,"unchanged"
"H2AFZ",0,"unchanged"
"CAV2",0,"unchanged"
"HLA-F",1,"unchanged"
"SLC9A3R2",0,"unchanged"
"IFT57",0,"unchanged"
"CLDN3",2,"unchanged"
"MT1E",0,"unchanged"
"ADGRF1",1,"unchanged"
"SOX4",0,"unchanged"
"TMSB10",0,"unchanged"
"LPCAT1",0,"unchanged"
"CD24",0,"unchanged"
"AHNAK",0,"unchanged"
"C3",0,"unchanged"
"LAMB3",1,"unchanged"
"PLS3",0,"unchanged"
"CTSB",0,"unchanged"
"HOPX",0,"unchanged"
"EFHD2",0,"unchanged"
"DDIT3",0,"unchanged"
"IRF1",0,"unchanged"
"VEGFA",0,"unchanged"
"CORO1B",0,"unchanged"
"C4BPA",0,"unchanged"
"NEDD9",0,"unchanged"
"CTTN",0,"unchanged"
"FAM84B",1,"unchanged"
"CHCHD2",0,"unchanged"
"IER3",0,"unchanged"
"C4orf48",1,"new_hub"
"MAL2",0,"unchanged"
"CYB5A",1,"new_hub"
"GSTP1",0,"unchanged"
"CTSD",0,"unchanged"
"C9orf16",1,"new_hub"
"PPP1R14B",0,"unchanged"
"SOD3",0,"unchanged"
"RALA",0,"unchanged"
"STAT1",0,"unchanged"
"HEXIM1",0,"unchanged"
"HOXD1",0,"unchanged"
"TRIM8",0,"unchanged"
"RAC1",-34,"lost_hub"
"SERPINB1",0,"unchanged"
"NET1",0,"unchanged"
"MYL12A",1,"unchanged"
"SUN1",0,"unchanged"
"MARCKSL1",0,"unchanged"
"SLC25A39",1,"new_hub"
"ATP1B1",0,"unchanged"
"SPATS2L",1,"unchanged"
"TUBA1C",0,"unchanged"
"TSC22D3",0,"unchanged"
"TSTA3",2,"new_hub"
"MRPS6",0,"unchanged"
"MBOAT2",0,"unchanged"
"ANXA2",0,"unchanged"
"CCDC85B",0,"unchanged"
"PPIA",1,"unchanged"
"PAFAH1B3",0,"unchanged"
"UBE2E3",0,"unchanged"
"TUBA4A",0,"unchanged"
"ASCC2",0,"unchanged"
"NINJ2",0,"unchanged"
"PGM2L1",0,"unchanged"
"ENO1",0,"unchanged"
"ARPC1B",0,"unchanged"
"HSBP1L1",0,"unchanged"
