"from","to","weight","color","width"
"ASS1","CD99",0.541828022852411,"firebrick3",2.16731209140965
"ASS1","MUC4",0.596049103774126,"firebrick3",2.3841964150965
"ASS1","PSCA",0.577222955323907,"firebrick3",2.30889182129563
"ASS1","S100P",0.501662228315718,"firebrick3",2.00664891326287
"ASS1","SNCG",0.696688445845408,"firebrick3",2.78675378338163
"C19orf33","CD99",0.560947980035222,"firebrick3",2.24379192014089
"C19orf33","CDKN2A",0.554943295062131,"firebrick3",2.21977318024852
"C19orf33","HMGA1",0.565740012855713,"firebrick3",2.26296005142285
"C19orf33","MUC4",0.584041403444412,"firebrick3",2.33616561377765
"C19orf33","SPINT2",0.715729192139907,"firebrick3",2.86291676855963
"CD24","MACC1",0.557745336846118,"firebrick3",2.23098134738447
"CD99","MUC4",0.584530172766758,"firebrick3",2.33812069106703
"CD99","SNCG",0.541354957999835,"firebrick3",2.16541983199934
"CD99","SPINT2",0.588904730997326,"firebrick3",2.3556189239893
"CDKN2A","HMGA1",0.566290366242205,"firebrick3",2.26516146496882
"CDKN2A","MARCKS",0.649407669878797,"firebrick3",2.59763067951519
"CDKN2A","SPINT2",0.554806058180547,"firebrick3",2.21922423272219
"CTSH","NAPSA",0.679377573467769,"firebrick3",2.71751029387108
"CTSH","SFTPA1",0.558021302752253,"firebrick3",2.23208521100901
"CTSH","SFTPA2",0.540687045104686,"firebrick3",2.16274818041874
"CTSH","SFTPB",0.539645322398557,"firebrick3",2.15858128959423
"GADD45B","HEXIM1",0.570724701883337,"firebrick3",2.28289880753335
"HMGA1","SNCG",0.504983979857079,"firebrick3",2.01993591942832
"LRRK2","NAPSA",0.514801324538835,"firebrick3",2.05920529815534
"LRRK2","SFTPA1",0.699466181714309,"firebrick3",2.79786472685724
"LRRK2","SFTPA2",0.674995299806335,"firebrick3",2.69998119922534
"LRRK2","SFTPB",0.597840875200578,"firebrick3",2.39136350080231
"LRRK2","SLC39A8",0.590819786872506,"firebrick3",2.36327914749002
"MARCKS","SPINT2",0.60432501855883,"firebrick3",2.41730007423532
"MUC4","SNCG",0.653181523130221,"firebrick3",2.61272609252089
"NAPSA","SFTPA1",0.628864631511977,"firebrick3",2.51545852604791
"NAPSA","SFTPA2",0.622750901329926,"firebrick3",2.4910036053197
"NAPSA","SFTPB",0.647694183691189,"firebrick3",2.59077673476476
"NAPSA","SFTPD",0.584521660066687,"firebrick3",2.33808664026675
"NAPSA","SLC39A8",0.520524745080349,"firebrick3",2.0820989803214
"PSCA","S100P",0.532626142707054,"firebrick3",2.13050457082822
"PSCA","SNCG",0.724675705675553,"firebrick3",2.89870282270221
"S100A4","S100P",0.582022294308656,"firebrick3",2.32808917723462
"S100P","SNCG",0.610170943124742,"firebrick3",2.44068377249897
"SFTPA1","SFTPA2",0.954714858212156,"firebrick3",3.81885943284862
"SFTPA1","SFTPB",0.737296442709754,"firebrick3",2.94918577083902
"SFTPA1","SFTPD",0.520824600139886,"firebrick3",2.08329840055955
"SFTPA1","SLC39A8",0.695697629744717,"firebrick3",2.78279051897887
"SFTPA2","SFTPB",0.71771110704288,"firebrick3",2.87084442817152
"SFTPA2","SLC39A8",0.69583594491397,"firebrick3",2.78334377965588
"SFTPB","SLC39A8",0.629181559456057,"firebrick3",2.51672623782423
