"gene","HR","p.value"
"NAPSA",0.895862629320919,9.51563948272664e-06
"SFTPB",0.916484490733121,9.62026908831584e-06
"CTSH",0.844172638119654,0.000177440630938795
"SFTPD",0.920925589412213,0.000813574340636302
"CD99",1.25795403565029,0.00809048039892519
"CD24",0.888763088724879,0.00856202977877985
"PLAT",1.0937419797825,0.00996956230999892
"PSCA",1.07838204058629,0.0142162065915056
"SFTPA2",0.965824864291333,0.046632931033914
"SFTPA1",0.969258003852171,0.066623299900716
"MUC4",0.978856483041032,0.597976203664324
"SLC39A8",0.983052462610195,0.699404303670508
